star_name|simbad_name|ra|dec|st_teff|sy_dist|st_spectype|sy_icmag|st_rad|st_mass|fl_known|fl_gaia|from_catalog
TIC 350347140|* chi Leo|166.254327|7.336022|7022.0|28.9011|F2III||2.082314039753514|1.61|1|1.0|HPIC
TIC 283819432|* i Boo|225.94679016828|47.65397723893|5749.0|12.947|G0Vn||0.8055797505503127|0.97|1|0.0|HPIC
TIC 54137341|*   9 Pup|117.942894|-13.898045|5816.8|16.672224074691563|G0V||1.375473756990856|1.04|1|0.0|HPIC
TIC 461297684|*   5 Ser|229.82835|1.765429|6105.0|25.1285|F8IV||2.002975188119676|1.2650383710861206|1|1.0|HPIC
TIC 212957673|*  13 Cet|8.812015|-3.59289|6091.0|21.04820037886761|F7V+G4V||1.5555693724877984|1.22|1|1.0|HPIC
TIC 252191219|* mu. Cas|17.067652|54.920339|5342.0|7.6753|G5Vb|4.13|0.8081431915192733|0.78|1|1.0|HPIC
TIC 118486580|HD  73752|129.7831|-22.6616|5753.0|19.6208|G3V+K0V||1.6086016178881808|1.22|1|1.0|HPIC
TIC 154385728|HD 156384|259.737893|-34.989934|4886.0|6.971070059254096|K3V+K5V|4.38|0.6121092988653825|0.7980589343366188|1|0.0|HPIC
TIC 246895813|HD   3443|9.336278|-24.76733|5398.0|15.53277415346381|K1V+G||1.3117113180901077|0.96|1|0.0|HPIC
TIC 428698700|HD 113415|195.942044|-20.583383|6133.0|28.66150759529951|F8.5V||1.1749398249803646|1.3|1|0.0|HPIC
TIC 284292958|* eta CrB|230.80134|30.287841|5961.0|18.6219739292365|G2V+G2V|4.22|1.0590046317721884|1.13|1|0.0|HPIC
TIC 278614418|HD 210918|333.661073|-41.381736|5757.0|21.7796|G2V||1.1610703935142197|0.934719443321228|0|0.0|HPIC
TIC 176941311|HD 106516|183.793969|-10.312468|6181.0|22.552999548940008|F9VFe-1.7CH-0.7||1.0983796876123724|0.99|1|1.0|HPIC
