,main_id,coo_ra,coo_dec,plx_value,dist_st_value,sptype_string,coo_gal_l,coo_gal_b,teff_st_value,mass_st_value,radius_st_value,binary_flag,mag_i_value,mag_j_value,class_lum,class_temp,parent_main_id,sep_ang_value,sep_phys_value,a_crit_s,ecliptic_pm45deg,Lon,Lat,baseline_E,separation_E,baseline_i,baseline_o,Erik_teff,teff,contrast,contrast_flag,baseline_flag,optimised_flag
18,HD  61214,113.86181395098,-52.44253427568,39.5637,25.28,K3.5Vk:,264.666154605625,-14.9480077202507,4605.564453125,0.78,0.762492537498474,False,,6.98000001907349,V,K,,,,,False,141.5171662518092,-71.6315251496882,63.37326005780193,0.01920308905913776,66.46643588601071,37.49212626170764,4715.198713364476,4605.564453125,3.132862620092036e-07,1,1,1
19,LP  315-53,154.144453418436,27.863562820285,49.6242,20.15,M8V,202.539006751436,55.7948506499127,2420.0,0.08,0.104,False,14.5550003051758,11.9870004653931,V,M,,,,,True,145.85492204899404,15.987183197375813,1341.3474405107365,0.0009072685570522231,1406.8170640780465,793.5518474917982,2570.3957827688646,2420.0,3.72686143682928e-05,1,0,0
20,LSPM J1716+1133,259.19916479542,11.564532697,40.3513,24.78,M4.0V,32.8769917604713,26.1884728420646,3000.02709960938,0.184,0.387010008096695,False,,9.79899978637695,V,M,,,,,True,257.11820525369865,34.52102369851098,288.4423705546299,0.004219083189885864,302.52091042486944,170.6448077027574,3213.660538640318,3000.02709960938,2.039937589009726e-06,1,0,0
21,LP  822-7,351.860203112567,-17.6924376113467,54.3954,18.38,M7V,54.5200935221114,-68.4593058159204,2630.0,0.088,0.116,False,,11.7519998550415,V,M,,,,,True,345.45507544249335,-13.014216784361468,928.7660385655224,0.0013103002331324093,974.0980391274601,549.4653983987006,2679.1683248190316,2630.0,2.6861496279728886e-05,1,0,0
22,HD   8262,20.5744898623038,18.6827076426086,38.3495,26.08,G2V,133.043100735939,-43.5823425764358,5683.07470703125,0.95675003528595,1.01302587985992,False,,5.80399990081787,V,G,,,,,True,26.016863234269177,9.293215915164811,32.31845731601143,0.03765533561699285,33.89588399224216,19.119857194822313,5767.664633922509,5683.07470703125,1.3946759024447143e-07,1,1,1
23,HD 151541,250.660735773401,68.1021642812358,41.3671,24.17,K1,99.698656460422,36.8665116285051,5250.60205078125,0.837233245372772,0.867707550525665,False,,6.1269998550415,V,K,,,,,False,159.51026436446284,82.41751840559634,40.96522757249896,0.029707203620537127,42.96469314534077,24.23535546517361,5164.163692720711,5250.60205078125,2.0799089525268058e-07,1,1,1
24,G 200-31,215.164030639561,46.0427439170981,48.2195,20.74,M4.5,85.7929731619331,64.1294712699136,3075.7568359375,0.184,0.214517250657082,False,,10.4549999237061,V,M,,,,,False,188.06755007802926,55.02716103438274,414.3552441231325,0.002937002425136987,434.57944632204453,245.13586827781702,3111.716337106017,3075.7568359375,6.435153007892419e-06,1,0,0
25,LP  500-35,217.017314899307,13.9370358419572,75.5877,13.23,M7V,7.43352224322584,63.8918108604947,2630.0,0.088,0.116,False,13.3500003814697,11.0139999389648,V,M,,,,,True,209.6021214688796,26.96049796800727,668.5296349413418,0.0018203566352965746,701.1597963904405,395.5074657679439,2679.1683248190316,2630.0,2.6861496279728883e-05,1,0,0
26,G 252-13,127.875496749781,73.0627154797914,68.214,14.66,M4.0V,141.297164245322,33.0824568406126,3033.9287109375,0.184,0.366074949502945,False,,8.77999973297119,V,M,,,,,False,106.8335009634514,51.832621024278076,176.39388325196256,0.006899118804020822,185.00346551775107,104.35602865693694,3213.660538640318,3033.9287109375,2.2479770716091453e-06,1,0,0
27,LP  101-372,258.53635064463,60.7916436794253,45.1781,22.13,M5.5V,89.9488384511947,35.2319150202378,2854.2626953125,0.123,0.150299057364464,False,,11.6579999923706,V,M,,,,,False,223.3368386581737,82.3293068455614,732.7698299437857,0.001660770281646595,768.5354813171798,433.5124776595774,2930.8932452503213,2854.2626953125,1.4404627682308962e-05,1,0,0
28,LSPM J2117+7345,319.423656754566,73.7651798818036,41.3803,24.17,M6.0V,109.363701419244,16.8324751557576,2740.0,0.093,0.126,False,,11.8249998092651,V,M,,,,,False,45.37569174783242,72.41258730999506,1035.9416288107686,0.0011747402778425908,1086.5047464845331,612.8713326678675,2811.9008303989394,2740.0,2.1594585225237073e-05,1,0,0
29,G 140-36,271.37135987997,1.54331828026,46.8894,21.33,M3.5V,29.0301794155242,10.9219027534714,3250.0,0.27,0.3,False,,9.10700035095215,V,M,,,,,True,271.5060027257076,24.97502631418395,272.9186312053632,0.004459066614408381,286.23947523867145,161.46083965052694,3273.406948788383,3250.0,3.072435418952777e-06,1,0,0
30,G 137-78,240.712269390888,20.5891767426544,99.7948,10.02,M4V,35.1217171707706,46.0068204466862,3087.0,0.184,0.217,False,,8.13199996948242,V,M,,,,,True,233.06223096022632,40.344392111492326,196.45588111210918,0.006194583485965475,206.0446663854435,116.2248666518371,3213.660538640318,3087.0,6.2601205068167524e-06,1,0,0
31,LP  415-217,68.65763552578,19.10139681451,58.9519,16.96,M5.5Ve,178.615874875615,-18.8753364314706,2930.0,0.123,0.156,False,,10.6099996566772,V,M,,,,,True,69.86408310926723,-2.8581813431477956,513.4478203238205,0.0023701772773918033,538.5086170293011,303.7598269494318,2930.8932452503213,2930.0,1.2934357928190566e-05,1,0,0
32,Ross  415,93.73779859212,-5.04801939786,38.6212,25.89,M3.0,213.299111537348,-10.4085747143805,3270.0,0.27,0.3,False,,9.92599964141846,V,M,,,,,True,94.24140898662932,-28.432666721071158,327.2243367262465,0.003719045988550571,343.1957796950964,193.5885283044328,3427.6778654645045,3270.0,3.0492331613335182e-06,1,0,0
33,G 264-22,333.85894603706,66.22436664555,55.8339,17.91,M3V,108.088154828454,7.95781190386991,3175.0,0.27,0.3,False,,8.75,V,M,,,,,False,29.057382212601897,65.54782840689705,240.11383133997887,0.005068272619142722,251.83351087740525,142.05325832330396,3427.6778654645045,3175.0,3.1626365540151566e-06,1,0,0
34,G   8-29,65.4586595718,21.3285652682,48.4126,20.66,M3.5V,174.761958966819,-19.7365292453973,3092.42358398438,0.27,0.437750995159149,False,,9.07999992370606,V,M,,,,,True,67.24281623571105,-0.1923731673512516,200.09467326308493,0.00608193280216812,209.86106379003888,118.37760511976599,3273.406948788383,3092.42358398438,1.5349538259200311e-06,1,0,0
35,LSR J0354+3333,58.5037193444433,33.5585722269214,43.1331,23.18,M6.0V,161.115262044502,-15.4519538135002,2740.0,0.093,0.126,False,14.1000003814697,11.8380002975464,V,M,,,,,True,63.46806837327013,12.976208504418814,993.5095968487224,0.0012249125330222356,1042.0016559168998,587.7682040232174,2811.9008303989394,2740.0,2.159458522523708e-05,1,0,0
36,LP  346-8,350.30440641842,30.38595545311,40.1805,24.89,M4,100.796854349046,-28.5788162770803,3063.0,0.184,0.232224732637405,False,,10.6300001144409,V,M,,,,,True,4.565698232351379,31.46090107465638,463.18313421137793,0.0026273891836106804,485.79056948407595,274.0228376180649,3213.660538640318,3063.0,5.51982037954061e-06,1,0,0
